ALAN K. IANNACCONE,BRENTWOOD,19,Chiropractic manipulation,,22,no,8,
JULIE A. AMUNDSEN,NOVATO,16,Chiropractic manipulation,,216,no,17,
ANNIE TRAN,SAN FRANCISCO,11,Chiropractic manipulation,,2851,no,15,
RACHELE FERRARO,SAN FRANCISCO,26,Chiropractic manipulation,,154,no,17,
VICTOR C. KERENYI,HERCULES,25,Chiropractic manipulation,,328,no,11,
PAUL A. MAISON,NAPA,,Chiropractic manipulation,,305,no,12,
JOSEPH A. BARATTA,WALNUT CREEK,31,Chiropractic manipulation,,67,no,11,
CLAIREMARIE HOLMAN,BERKELEY,28,Chiropractic manipulation,,114,no,15,
STEVEN K. SHERRY,CAMPBELL,19,Chiropractic manipulation,,294,no,16,
JAMES M. LOCONTE,LOS ALTOS,21,Chiropractic manipulation,,32,no,13,
DANIEL J. RIXEN,EL SOBRANTE,24,Chiropractic manipulation,,281,no,17,
SALLY A. HARPER,COTATI,28,Chiropractic manipulation,,351,no,17,
JIMMIE MCCALLISTER,LIVERMORE,31,Chiropractic manipulation,,460,no,17,
STEVEN L. KATZ,MILL VALLEY,36,Chiropractic manipulation,,778,no,16,
JERRY W. DIPPE,SEBASTOPOL,43,Chiropractic manipulation,,119,no,15,
TAKESHI OKAI,SAN MATEO,23,Chiropractic manipulation,,128,no,12,
KENNETH J. SAVAGE,CAMPBELL,28,Chiropractic manipulation,,597,no,16,
PATRICK B. MCCAULEY,MOUNTAIN VIEW,11,Chiropractic manipulation,,538,no,17,
VINITA B. AZAROW,MOUNTAIN VIEW,28,Chiropractic manipulation,,752,no,17,
GABRIEL M. ALLENDE,DANVILLE,20,Chiropractic manipulation,,64,no,13,
JOHN GUILFORD,CASTRO VALLEY,28,Chiropractic manipulation,,235,no,16,
VIRGINIA L. HERNLY,SAN MATEO,31,Chiropractic manipulation,,88,no,11,
DAVID P. WITTWER,BELMONT,29,Chiropractic manipulation,,182,no,19,
SHAWN A. SILVA,MORGAN HILL,8,Chiropractic manipulation,,132,no,15,
CURTIS J. HAAKE,PLEASANT HILL,15,Chiropractic manipulation,,134,no,15,
MARKUS STRIEBECK,SAN FRANCISCO,25,Chiropractic manipulation,,103,no,17,
MARSHALL B. LEE,SAN RAMON,32,Chiropractic manipulation,,1353,no,17,
DANIEL J. LATCH,SAN FRANCISCO,17,Chiropractic manipulation,,1423,no,26,
DAVID C. ADAMS,SANTA CLARA,26,Chiropractic manipulation,,220,no,18,
MICHELLE DEL BENE,SAN JOSE,21,Chiropractic manipulation,,204,no,11,
JESPER LUNDBAEK,MILL VALLEY,22,Chiropractic manipulation,,224,no,12,
PAUL D. PODWOJSKI,NOVATO,14,Chiropractic manipulation,,595,no,13,
RICKY E. FISHMAN,SAN FRANCISCO,28,Chiropractic manipulation,,129,no,10,
VUONG D. PHAM,SAN JOSE,15,Chiropractic manipulation,,677,yes,5,
JASON T. WONG,ORINDA,15,Chiropractic manipulation,,87,no,16,
DANIEL J. WILLIAMS,LIVERMORE,16,Chiropractic manipulation,,325,no,19,
JEFFERY E. AWENDER,PALO ALTO,9,Chiropractic manipulation,,137,no,10,
BASHAR AMSO,VALLEJO,14,Chiropractic manipulation,,188,no,16,
OSAMA E. NIJMEH,GILROY,24,Chiropractic manipulation,,258,no,16,
ROBERT HAMILTON,CONCORD,15,Chiropractic manipulation,,194,no,12,
LEONARD J. CIANCIOLO,SAN FRANCISCO,41,Chiropractic manipulation,,280,no,16,
BAHAR NEHAWANDIAN,SAN JOSE,19,Chiropractic manipulation,,279,no,10,
KEITH R. SANDERS,CUPERTINO,34,Chiropractic manipulation,,337,no,17,
BOB NGUYEN,SAN JOSE,17,Chiropractic manipulation,,1204,yes,3,
BARBARA H. BERKELEY,SAN FRANCISCO,28,Chiropractic manipulation,,188,no,18,
KAREN A. MONTALBANO,SAN FRANCISCO,27,Chiropractic manipulation,,186,no,16,
WENDY R. LANSER,SUNNYVALE,16,Chiropractic manipulation,,1374,no,17,
MICHAEL L. WONG,OAKLAND,32,Chiropractic manipulation,,109,no,15,
MITCHELL R. CORWIN,BERKELEY,37,Chiropractic manipulation,,46,no,11,
GERALD ORANJE,PITTSBURG,28,Chiropractic manipulation,,103,no,17,
MICHAEL TEREO,NEWARK,28,Chiropractic manipulation,,321,no,19,
DAVID G. RENBARGER,LOS GATOS,36,Chiropractic manipulation,,79,no,10,
LISA DE LA TORRE,LOS GATOS,17,Chiropractic manipulation,,470,no,17,
LINDA PARIS-BELL,MOUNTAIN VIEW,22,Chiropractic manipulation,,271,no,18,
BARRY R. DANIELI,SONOMA,33,Chiropractic manipulation,,235,no,16,
J SCOTT THREDE,WALNUT CREEK,21,Chiropractic manipulation,,163,no,15,
SCOTT J. HEUN,NAPA,31,Chiropractic manipulation,,250,no,16,
JEFFREY LAYNE,EL CERRITO,35,Chiropractic manipulation,,290,no,16,
NANCY S. HIROSE,SAN JOSE,27,Chiropractic manipulation,,139,no,11,
RIKKE JOHANSEN,MENLO PARK,22,Chiropractic manipulation,,94,no,13,
DONALD G. AJLOUNI,SAN JOSE,15,Chiropractic manipulation,,204,no,11,
SOPHIE N. BLANCHARD,ALAMEDA,20,Chiropractic manipulation,,35,no,7,
THOMAS M. FERRIGNO,CAMPBELL,26,Chiropractic manipulation,,944,no,17,
JERRY M. BEHYMER,LAFAYETTE,38,Chiropractic manipulation,,332,no,17,
GREGORY A. CAMERON,BURLINGAME,32,Chiropractic manipulation,,340,no,17,
ADAM J. BENJAMIN,OAKLAND,18,Chiropractic manipulation,,33,no,10,
JEFFREY J. COYLE,SAN JOSE,24,Chiropractic manipulation,,204,no,15,
DAVID G. NOEL,CAMPBELL,17,Chiropractic manipulation,,239,no,15,
JIM A. LARSEN,PETALUMA,,Chiropractic manipulation,,688,no,17,
STEPHEN T. SKARDA,WALNUT CREEK,45,Chiropractic manipulation,,260,no,13,
JERRY M. KENNY,VALLEJO,17,Chiropractic manipulation,,430,no,18,
BRIAN S. OTA,SUNNYVALE,21,Chiropractic manipulation,,917,no,19,
DAVID M. BENNETT,SUNNYVALE,8,Chiropractic manipulation,,149,no,10,
BRIAN W. BALBON,SAN FRANCISCO,27,Chiropractic manipulation,,206,no,13,
HAN D. NGUYEN,SAN JOSE,15,Chiropractic manipulation,,360,yes,3,
WILLIAM H. TOLHURST,LOS GATOS,32,Chiropractic manipulation,,391,no,17,
GREGORY J. MILLER,DUBLIN,8,Chiropractic manipulation,,51,no,12,
JUSTIN T. VO,OAKLAND,,Chiropractic manipulation,,63,no,9,
FRANK A. TERRANOVA,SAN RAMON,19,Chiropractic manipulation,,192,no,16,
LARRIE GOLDSMITH,NOVATO,33,Chiropractic manipulation,,294,no,12,
KENT G. CARLOMAGNO,SAN RAFAEL,31,Chiropractic manipulation,,440,no,17,
DAN WEYMOUTH,SAN LEANDRO,24,Chiropractic manipulation,,237,no,11,
RUDY A. GUTIERREZ,WALNUT CREEK,7,Chiropractic manipulation,,429,no,12,
BEJAN A. PAZDEL,SUISUN,24,Chiropractic manipulation,,81,no,14,
CHIEN-HEN H. LIN,CUPERTINO,12,Chiropractic manipulation,,484,no,13,
JANET L. LANEY,FREMONT,21,Chiropractic manipulation,,289,no,15,
LAURA A. SHEEHAN,SAN FRANCISCO,12,Chiropractic manipulation,,108,no,19,
JOHN W. DE ROY,SAN FRANCISCO,31,Chiropractic manipulation,,212,no,21,
MATTHEW L. RIVERA,SAN CARLOS,23,Chiropractic manipulation,,425,no,13,
TRACY R. SIMON,VACAVILLE,14,Chiropractic manipulation,,195,no,16,
SHANE D. WHITELEY,SAN LEANDRO,,Chiropractic manipulation,,172,no,16,
SHERRY L. CHOCHOLATY,SAN JOSE,15,Chiropractic manipulation,,187,no,16,
JUDY A. DAY,SAN LEANDRO,25,Chiropractic manipulation,,110,no,14,
JOSEPH LIU,SANTA ROSA,17,Chiropractic manipulation,,271,no,18,
RAYMOND T. LEW,SAN FRANCISCO,30,Chiropractic manipulation,,643,no,16,
RICHARD SCHECHTER,SEBASTOPOL,36,Chiropractic manipulation,,292,no,16,
TIMOTHY J. JENNINGS,SAN JOSE,,Chiropractic manipulation,,117,no,11,
MARK W. REIS,SAN CARLOS,25,Chiropractic manipulation,,300,no,12,
DANG KHOA TRAN,SAN JOSE,15,Chiropractic manipulation,,58,no,8,
BRUCE PRESNICK,PLEASANT HILL,36,Chiropractic manipulation,,169,no,16,
DAWN S. KAHRS,WALNUT CREEK,,Chiropractic manipulation,,338,no,11,
DEBORAH E. MOSCA,LOS ALTOS,26,Chiropractic manipulation,,484,no,18,
DUC M. NGUYEN,SAN JOSE,15,Chiropractic manipulation,,422,no,12,
NICOLE C. CONRAGAN,MORGAN HILL,,Chiropractic manipulation,,211,no,12,
GREGORY W. BECKER,SAN MATEO,13,Chiropractic manipulation,,246,no,18,
HERENA KIM,SAN FRANCISCO,18,Chiropractic manipulation,,67,no,10,
BELLA DELYAEI,SANTA CLARA,21,Chiropractic manipulation,,222,no,11,
THOMAS J. OSBORNE,SAN JOSE,19,Chiropractic manipulation,,758,no,13,
SCOTT CALZARETTA,SAN FRANCISCO,29,Chiropractic manipulation,,168,no,14,
KEVIN WONG,ORINDA,18,Chiropractic manipulation,377,39,no,7,
EDWIN CHEN,SAN JOSE,27,Chiropractic manipulation,,183,no,10,
KAREN S. MORGAN-NICODEMUS,NEWARK,17,Chiropractic manipulation,,122,no,15,
KATHY M. NGUYEN,SAN JOSE,,Chiropractic manipulation,,114,yes,-1,
RICHARD G. WONG,SANTA ROSA,33,Chiropractic manipulation,,39,no,14,
ROBERT M. SCHICK,PLEASANT HILL,23,Chiropractic manipulation,,153,no,15,
DALE MCKENNA,SAN FRANCISCO,32,Chiropractic manipulation,,185,no,18,
THOMAS SANTUCCI,SAN JOSE,18,Chiropractic manipulation,,385,no,17,
VERONICA O. LEVY,SAN RAFAEL,31,Chiropractic manipulation,,381,no,16,
DAVID P. CRUZ,NOVATO,18,Chiropractic manipulation,,287,no,11,
DALE HEER,FOSTER CITY,21,Chiropractic manipulation,,343,no,18,
PHYLLIS A. WILLIAMS,SUNNYVALE,37,Chiropractic manipulation,,871,no,13,
RUSSELL L. COPPING,CONCORD,38,Chiropractic manipulation,,641,no,18,
STEPHEN V. SUM,CASTRO VALLEY,27,Chiropractic manipulation,,305,no,18,
JOHN C. HUI,OAKLAND,22,Chiropractic manipulation,,100,no,18,
JEFFREY I. FRIEDMAN,SAN RAFAEL,39,Chiropractic manipulation,,66,no,16,
JOHN H. QUITORIANO,MOUNTAIN VIEW,31,Chiropractic manipulation,,681,no,14,
CYNTHIA M. GUILLETT,SAN JOSE,33,Chiropractic manipulation,,53,no,8,
PHILIP V. SCHEMBER,NAPA,13,Chiropractic manipulation,,157,no,13,
GUY M. BOSTOCK,GILROY,22,Chiropractic manipulation,,70,no,16,
CARL F. DIETER,SAN JOSE,40,Chiropractic manipulation,,856,no,12,
GARY W. ZOFFADA,CASTRO VALLEY,22,Chiropractic manipulation,,113,no,17,
MARY S. BRENNAN,OAKLAND,29,Chiropractic manipulation,,84,no,14,
DONALD J. WRIGHT,SANTA ROSA,30,Chiropractic manipulation,,108,no,11,
THOMAS A. AUSTIN,SAN JOSE,30,Chiropractic manipulation,,148,no,22,
ROBERT W. EHLERS,VACAVILLE,13,Chiropractic manipulation,,859,no,15,
STRPHEN J. TAYLOR,NAPA,45,Chiropractic manipulation,,177,no,10,
JOSEPH TANNOUS,SAN MATEO,14,Chiropractic manipulation,,108,no,9,
FRANCIS SCORCA,FREMONT,34,Chiropractic manipulation,,98,no,17,
JULIE L. RESTAD,PETALUMA,9,Chiropractic manipulation,,205,no,16,
JOEL A. TAATJES,PETALUMA,26,Chiropractic manipulation,,437,no,18,
RISHI SHAHANI,FREMONT,11,Chiropractic manipulation,,185,no,10,
ELIOT A. CARTER,SAN FRANCISCO,17,Chiropractic manipulation,,1091,no,18,
JEFFREY L. TORCHIA,REDWOOD CITY,30,Chiropractic manipulation,,470,no,15,
ROBERT W. ADAMS,SONOMA,27,Chiropractic manipulation,,1281,no,17,
DARRIN D. BERARDI,FAIRFIELD,25,Chiropractic manipulation,,72,no,8,
TIMOTHY J. KELLY,FAIRFIELD,26,Chiropractic manipulation,,84,no,14,
MARY A. JOHNSON,SAN RAFAEL,30,Chiropractic manipulation,,429,no,16,
SIMON K. LEE,SUNNYVALE,13,Chiropractic manipulation,,392,no,13,
PAULETTE J. COOPER,CORTE MADERA,23,Chiropractic manipulation,,174,no,16,
ROBERT P. KESSLER,MORGAN HILL,22,Chiropractic manipulation,,167,no,16,
DONALD M. BUTERA,SOUTH SAN FRANCISCO,39,Chiropractic manipulation,,545,no,16,
DENNIS BUTCHART,UNION CITY,15,Chiropractic manipulation,,413,no,20,
MICHAEL S. WILSON,FAIRFIELD,19,Chiropractic manipulation,,184,no,12,
BRIAN E. WIRICK,SONOMA,26,Chiropractic manipulation,,464,no,19,
MICHAEL H. MORTENSEN,SAN LEANDRO,,Chiropractic manipulation,,59,no,15,
DAVID M. LATCH,SAN FRANCISCO,16,Chiropractic manipulation,,263,no,15,
SHANDA M. FULLER,DANVILLE,14,Chiropractic manipulation,,167,no,10,
PAUL J. ZUCHOWSKI,SAN JOSE,,Chiropractic manipulation,,727,no,12,
ERIC R. LUNDBERG,SUNNYVALE,30,Chiropractic manipulation,,36,no,11,
TUAN A. DINH,SAN JOSE,14,Chiropractic manipulation,,450,no,12,
MYLO H. MAGTOTO,OAKLAND,13,Chiropractic manipulation,,305,no,10,
WARREN M. SLOAN,CAMPBELL,,Chiropractic manipulation,,97,no,16,
DELENE BIVOLCIC,OAKLAND,32,Chiropractic manipulation,,181,no,17,
JESS M. PONTIOUS,DANVILLE,27,Chiropractic manipulation,,448,no,14,
MICHAEL G. RIDGEWAY,SANTA ROSA,31,Chiropractic manipulation,,157,no,9,
DAVID KONG,MENLO PARK,12,Chiropractic manipulation,,1958,no,13,
PHILLIP C. REYES,ALAMEDA,26,Chiropractic manipulation,,164,no,15,
PATRICK A. TRIBBLE,BERKELEY,33,Chiropractic manipulation,,411,no,19,
RYAN D. LAZARUS,NAPA,10,Chiropractic manipulation,,37,no,9,
NATHAN MORELLO,SOUTH SAN FRANCISCO,10,Chiropractic manipulation,,45,no,10,
STEVE B. CAMPBELL,ROHNERT PARK,34,Chiropractic manipulation,,342,no,12,
KYLE J. YODER,REDWOOD CITY,26,Chiropractic manipulation,,290,no,14,
GEORGE O. KIRK,PLEASANTON,16,Chiropractic manipulation,,197,no,16,
JAMES J. O'NEAL,SANTA ROSA,30,Chiropractic manipulation,,44,no,12,
PAMELA F. WELLS,SUNNYVALE,29,Chiropractic manipulation,,222,no,15,
PAMELA DANIELS,SAN JOSE,17,Chiropractic manipulation,,82,no,8,
DANIEL AUER,CUPERTINO,6,Chiropractic manipulation,,45,no,10,
KENNETH J. ZYLKER,PLEASANT HILL,27,Chiropractic manipulation,,116,no,15,
DON G. DAVIS,WALNUT CREEK,36,Chiropractic manipulation,,243,no,16,
ROBERT F. BLISS,SAN RAFAEL,49,Chiropractic manipulation,,268,no,12,
BRAD J. PLUCKHAN,GILROY,18,Chiropractic manipulation,,168,no,15,
PAUL J. DEMETRUS,SAN JOSE,35,Chiropractic manipulation,,311,no,16,
ELSIE G. YUEN,SANTA ROSA,4,Chiropractic manipulation,,41,no,12,
GREGORY J. SABOL,MORGAN HILL,22,Chiropractic manipulation,,319,no,12,
JESSE J. ALLEN,FREMONT,28,Chiropractic manipulation,,96,no,15,
DADE W. DONOVAN,SAN MATEO,15,Chiropractic manipulation,,256,no,13,
CURTIS HAN,ST HELENA,16,Chiropractic manipulation,,220,no,14,
DENNIS J. BALCH,MILLBRAE,18,Chiropractic manipulation,,161,no,16,
PHILLIP D. KOTZAN,SAN CARLOS,7,Chiropractic manipulation,,81,no,10,
SCOTT R. SWANSON,SAN FRANCISCO,12,Chiropractic manipulation,,71,no,11,
JAGTAR DHESI,SAN RAMON,14,Chiropractic manipulation,,93,no,9,
NANCY S. ROCKS,SANTA ROSA,24,Chiropractic manipulation,,16,no,9,
THOMAS M. MOSCA,LOS GATOS,26,Chiropractic manipulation,,491,no,17,
ROBERT N. PRIVRATSKY,SAN FRANCISCO,9,Chiropractic manipulation,,514,no,14,
DANIEL R. SITZMANN,CONCORD,34,Chiropractic manipulation,,95,no,14,
VAL SVETICH,FREMONT,,Chiropractic manipulation,,68,no,13,
HANS FREERICKS,FREMONT,19,Chiropractic manipulation,,158,no,15,
ROD S. VANBUSKIRK,PLEASANT HILL,27,Chiropractic manipulation,,250,no,15,
GARY D. YAEGER,WALNUT CREEK,,Chiropractic manipulation,,234,no,11,
JON R. NICHOLS,MILPITAS,18,Chiropractic manipulation,,740,no,14,
KENT HAGAN,HAYWARD,26,Chiropractic manipulation,,198,no,15,
SHAWN A. BEK,PALO ALTO,,Chiropractic manipulation,,145,no,11,
KENNETH C. SO,SAN FRANCISCO,38,Chiropractic manipulation,,3028,no,16,
LARRY C. WILLIAMS,SAN JOSE,30,Chiropractic manipulation,,428,no,16,
DAVID E. LINCOLN,SANTA ROSA,15,Chiropractic manipulation,,272,no,11,
BRIGITTE FAAS,SAN RAFAEL,34,Chiropractic manipulation,,203,no,15,
PATRICK J. WALSH,ROHNERT PARK,30,Chiropractic manipulation,260,678,no,16,
JOSEPH P. LEAHY,LOS GATOS,32,Chiropractic manipulation,,155,no,17,
WILLIAM J. RUCH,OAKLAND,28,Chiropractic manipulation,,323,no,17,
WON S. YOO,OAKLAND,13,Chiropractic manipulation,,1001,no,11,
LAURENCE R. ADAMS,SAN JOSE,52,Chiropractic manipulation,,450,no,13,
RONNIE QUESADA,PITTSBURG,39,Chiropractic manipulation,,115,no,10,
RAQUELLE MARTINS,CASTRO VALLEY,6,Chiropractic manipulation,,122,no,9,
KATHRYN C. RILEY,SUNNYVALE,33,Chiropractic manipulation,,165,no,10,
GUITA KIANIAN,SAN JOSE,22,Chiropractic manipulation,,199,no,16,
CRAIG A. VANOTTEN,FREMONT,,Chiropractic manipulation,,58,no,15,
ARTHUR L. CHARETTE,SONOMA,20,Chiropractic manipulation,,540,no,14,
YI OU,OAKLAND,13,Chiropractic manipulation,,445,no,15,
GREGORY J. CUSACK,WALNUT CREEK,,Chiropractic manipulation,,184,no,14,
MICHAEL F. MCMURRAY,CAMPBELL,32,Chiropractic manipulation,,1102,no,13,
DANIEL A. RHODES,HALF MOON BAY,,Chiropractic manipulation,,175,no,14,
PATRICIA M. DOWNEY,SAN RAMON,13,Chiropractic manipulation,,35,no,12,
SCOTT F. HAMLIN,PLEASANTON,22,Chiropractic manipulation,,53,no,11,
SUSAN V. GOODWIN,CONCORD,15,Chiropractic manipulation,,240,no,12,
RONALD AJLUNI,SAN JOSE,28,Chiropractic manipulation,,1119,no,13,
WILLIAM K. HALEY,PLEASANT HILL,30,Chiropractic manipulation,,156,no,15,
BRADLEY K. OSGOOD,PETALUMA,18,Chiropractic manipulation,,57,no,11,
MOSES JACOB,NOVATO,37,Chiropractic manipulation,,311,no,13,
DAVID C. ATKINSON,PLEASANT HILL,35,Chiropractic manipulation,,255,no,17,
ANGELA M. ORNELAS,SAN JOSE,29,Chiropractic manipulation,,227,no,20,
CHRISTOPHER N. TUCKER,LAFAYETTE,16,Chiropractic manipulation,,100,no,14,
DAVID B. JONES,HEALDSBURG,28,Chiropractic manipulation,,719,no,17,
NICHOLAS J. ATHENS,SAN CARLOS,32,Chiropractic manipulation,,1319,no,13,
NIELE MAIMONE,DANVILLE,15,Chiropractic manipulation,,290,no,16,
MARK S. SCHILLINGER,SAN RAFAEL,30,Chiropractic manipulation,,305,no,13,
IGOR SKLOVSKIY,SAN FRANCISCO,5,Chiropractic manipulation,,550,no,14,
JON M. KAKLEAS,SAN RAFAEL,33,Chiropractic manipulation,,185,no,12,
ANALISA WEDEMEYER,SUNNYVALE,,Chiropractic manipulation,,15,no,9,
JOHN P. FLETCHER,CALISTOGA,18,Chiropractic manipulation,,240,no,18,
JEFFREY K. FILIPPI,REDWOOD CITY,32,Chiropractic manipulation,,36,no,10,
FRANK R. WILBUR,SANTA ROSA,34,Chiropractic manipulation,,459,no,19,
MARK R. SWANSON,PETALUMA,31,Chiropractic manipulation,,407,no,17,
DAVID M. BASCO,ALAMEDA,18,Chiropractic manipulation,,273,no,12,
RICHARD W. PIERCE,DISCOVERY BAY,12,Chiropractic manipulation,,275,no,13,
WARREN R. ANDERSON,CONCORD,23,Chiropractic manipulation,,254,no,15,
R GRIFALL,MORGAN HILL,13,Chiropractic manipulation,,182,no,16,
RONALD M. BENSON,SAN JOSE,28,Chiropractic manipulation,,501,no,18,
RODNEY L. SWEET,PETALUMA,33,Chiropractic manipulation,,164,no,12,
LAUREN ELKIND,WALNUT CREEK,13,Chiropractic manipulation,,133,no,17,
LISA H. KIRK,PLEASANTON,16,Chiropractic manipulation,,153,no,15,
ROBERT D. ENSLEY,FAIRFIELD,36,Chiropractic manipulation,,83,no,14,
BRUCE H. DEL FANTE,OAKLAND,30,Chiropractic manipulation,,58,no,15,
MITCHELL M. GRANDI,WINDSOR,31,Chiropractic manipulation,,387,no,15,
ROSS A. ALI,SAN JOSE,25,Chiropractic manipulation,,163,no,11,
EILINA FEYGINA,SAN FRANCISCO,28,Chiropractic manipulation,,481,no,11,
KATHRYN A. OCONNOR,PETALUMA,20,Chiropractic manipulation,,102,no,12,
ROSA E. VINCE,SAN RAFAEL,27,Chiropractic manipulation,,728,no,16,
KEITH S. ROBERTSON,SAN LORENZO,21,Chiropractic manipulation,,94,no,14,
KATHY S. DOYLE,OAKLAND,31,Chiropractic manipulation,,218,no,18,
STEVE MILLIGAN,LAFAYETTE,19,Chiropractic manipulation,,919,no,16,
RONALD R. DESMARAIS,SOUTH SAN FRANCISCO,25,Chiropractic manipulation,,391,no,16,
BARBARA RINKOFF,SAN FRANCISCO,27,Chiropractic manipulation,,119,no,19,
EVA CHIU,SAN CARLOS,11,Chiropractic manipulation,,287,no,14,
RICKY D. PHILLIPS,SAN JOSE,18,Chiropractic manipulation,,640,no,16,
HARRY K. WONG,REDWOOD CITY,33,Chiropractic manipulation,,126,no,15,
JAMES M. LOUCKS,SAN CARLOS,20,Chiropractic manipulation,,165,no,14,
DAVID F. STEWART,SAN BRUNO,46,Chiropractic manipulation,,196,no,17,
PATRICIA A. ROUZER,MOUNTAIN VIEW,,Chiropractic manipulation,,100,no,16,
DALE A. GIESSMAN,BRENTWOOD,,Chiropractic manipulation,,25,no,7,
DAVID A. BARTON,CONCORD,28,Chiropractic manipulation,,136,no,16,
RONALD D. MITCHELL,PACIFICA,28,Chiropractic manipulation,,86,no,16,
DENNIS J. BARKER,WALNUT CREEK,24,Chiropractic manipulation,,493,no,19,
DAVID MELTZER,NAPA,18,Chiropractic manipulation,,130,no,11,
RONALD D. HARMAN,SAN MATEO,,Chiropractic manipulation,,223,no,17,
VALERIE J. MORRISON,WALNUT CREEK,18,Chiropractic manipulation,,148,no,17,
RONALD B. WILLIAMS,VALLEJO,29,Chiropractic manipulation,,375,no,19,
DIANDRA WOOD,PALO ALTO,28,Chiropractic manipulation,,322,no,17,
RICHARD G. FOURZON,SANTA ROSA,27,Chiropractic manipulation,,426,no,17,
CHARLES H. DECKER,SAN JOSE,28,Chiropractic manipulation,,234,no,11,
LYRESA A. PLESKOVITCH,PALO ALTO,18,Chiropractic manipulation,,235,no,12,
RONALD D. SCHUSTER,CLOVERDALE,,Chiropractic manipulation,,445,no,17,
JEFFREY B. KAPLAN,CAMPBELL,32,Chiropractic manipulation,,141,no,12,
ANITA HAQUE,LIVERMORE,11,Chiropractic manipulation,,569,no,12,
ANTHONY M. TRAN,MILPITAS,21,Chiropractic manipulation,,60,no,10,
STEVEN J. FOREST,ALAMEDA,35,Chiropractic manipulation,,448,no,19,
F. B. AMBRIDGE,SANTA ROSA,27,Chiropractic manipulation,,444,no,12,
ROBIN P. MCCARTHY,NAPA,33,Chiropractic manipulation,,163,no,16,
JULIA A. MASON,SAN CARLOS,,Chiropractic manipulation,,189,no,11,
TARA E. DONOHUE,ALAMEDA,,Chiropractic manipulation,,5191,no,19,
JACOB B. QUIHUIS,SANTA ROSA,9,Chiropractic manipulation,,220,no,17,
JORN T. JENSEN,LOS GATOS,20,Chiropractic manipulation,,74,no,8,
ARMEN B. AGACANYAN,CAMPBELL,11,Chiropractic manipulation,,24,no,12,
NATHAN M. GERSHFELD,SANTA ROSA,,Chiropractic manipulation,,24,no,10,
GINA A. DE WET,NAPA,11,Chiropractic manipulation,,298,no,16,
B S. DEVOSS,SUNNYVALE,33,Chiropractic manipulation,,81,no,12,
ERIK M. LAPIER,SAN MATEO,25,Chiropractic manipulation,,198,no,12,
LYNN M. HAUSRATH,RICHMOND,30,Chiropractic manipulation,,327,no,13,
NEIL KRAUS,SAN ANSELMO,29,Chiropractic manipulation,,253,no,15,
RICHARD A. SILVER,SAN JOSE,31,Chiropractic manipulation,,119,no,14,
FARIMA N. YEGANEGI,SAN JOSE,27,Chiropractic manipulation,,245,no,11,
IDA M. HALLGREN-LUKE,COTATI,42,Chiropractic manipulation,,404,no,20,
JONATHAN SMITH,SAN RAFAEL,15,Chiropractic manipulation,,52,no,7,
KRISTEN GILES,NAPA,13,Chiropractic manipulation,,285,no,12,
LAI D. NGUYEN,SAN JOSE,15,Chiropractic manipulation,,127,yes,6,
MELISSA JASON,SANTA ROSA,21,Chiropractic manipulation,,241,no,13,
GRANT M. DOBSON,SONOMA,3,Chiropractic manipulation,,29,no,11,
NANCY J. NEWBOLD,EL GRANADA,31,Chiropractic manipulation,,523,no,13,
CHARLES ZOLLNER,SAN RAFAEL,18,Chiropractic manipulation,,132,no,11,
ROBERT A. DAVISON,BERKELEY,27,Chiropractic manipulation,,39,no,14,
BENSON TAM,SAN FRANCISCO,12,Chiropractic manipulation,,273,no,21,
BRIAN C. LANGERMANN,SEBASTOPOL,31,Chiropractic manipulation,,58,no,13,
HARRIETT A. KAPLAN,SANTA ROSA,27,Chiropractic manipulation,,144,no,17,
RICHARD G. MATERA,MENLO PARK,,Chiropractic manipulation,,56,no,13,
SUSAN SALEM,WALNUT CREEK,21,Chiropractic manipulation,,52,no,15,
TRUC N. PHAM,SAN JOSE,15,Chiropractic manipulation,,3408,yes,4,
JEFFREY S. CANADA,CASTRO VALLEY,22,Chiropractic manipulation,,347,no,17,
PHILIP C. DIETER,SAN JOSE,8,Chiropractic manipulation,,140,no,10,
ROBERT C. DEES,SAN RAMON,24,Chiropractic manipulation,,521,no,13,
EVA DAHL,SAUSALITO,24,Chiropractic manipulation,,144,no,15,
SHIN AOKI,KENSINGTON,,Chiropractic manipulation,,233,no,18,
BRIAN KALSBEEK,CASTRO VALLEY,,Chiropractic manipulation,,304,no,15,
JENNIFER S. LANETT,SAN FRANCISCO,13,Chiropractic manipulation,,83,no,13,
ELLEN A. RENCHER,LOS GATOS,,Chiropractic manipulation,,196,no,12,
DENISE E. MAGEE,REDWOOD CITY,28,Chiropractic manipulation,,150,no,14,
JULIE ORMAN,OAKLAND,18,Chiropractic manipulation,,159,no,15,
MATTHEW G. BERND,SANTA ROSA,18,Chiropractic manipulation,,330,no,17,
BRENT J. WATERMAN,SAN RAMON,35,Chiropractic manipulation,,741,no,19,
LAURENCE J. ADAMS,SONOMA,18,Chiropractic manipulation,,1558,no,17,
DAVID A. YORK,SAN FRANCISCO,22,Chiropractic manipulation,,311,no,17,
SCOTT W. DOWER,SAN JOSE,38,Chiropractic manipulation,,157,no,19,
MARK B. KINGSBURY,LOS GATOS,13,Chiropractic manipulation,,133,no,12,
BRIAN M. KERNER,SAN FRANCISCO,23,Chiropractic manipulation,,92,no,17,
CHARLES J. FULANOVICH,PALO ALTO,38,Chiropractic manipulation,,88,no,11,
